corpus,model,context,aspect,mae,mae_std,n_runs,n_samples
fora,vllm:Qwen/Qwen3-4B-Instruct-2507,full,Novelty,0.5713525026624068,0.0,1,313
fora,vllm:Qwen/Qwen3-4B-Instruct-2507,memory,Novelty,0.5228966986155484,0.0,1,313
fora,vllm:Qwen/Qwen3-4B-Instruct-2507,no_knowledge,Novelty,0.7231096911608094,0.0,1,313
fora,vllm:Qwen/Qwen3-4B-Instruct-2507,short_prior,Novelty,0.5202342917997871,0.0,1,313
fora,vllm:Qwen/Qwen3-4B-Instruct-2507,summary,Novelty,0.5191693290734825,0.0,1,313
fora,gemini-2.5-flash,full,Relevance,0.6218494852680156,0.048340262824758715,3,313
fora,gemini-2.5-flash,memory,Relevance,0.5748136315228968,0.024195209406239867,3,313
fora,gemini-2.5-flash,no_knowledge,Relevance,0.6612531061412851,0.04236342064969382,3,313
fora,gemini-2.5-flash,short_prior,Relevance,0.5325701100461484,0.04997450988079798,3,313
fora,gemini-2.5-flash,summary,Relevance,0.5792509762158325,0.012618297896468754,3,313
fora,gpt-5,full,Relevance,0.42909123180688674,0.019834881142632606,3,313
fora,gpt-5,memory,Relevance,0.4191515796947107,0.011340172413889479,3,313
fora,gpt-5,no_knowledge,Relevance,0.42181398651047214,0.004354932249338056,3,313
fora,gpt-5,short_prior,Relevance,0.4166666666666667,0.009999691885696327,3,313
fora,gpt-5,summary,Relevance,0.4141817536386226,0.013975874820752255,3,313
fora,gpt-5-mini,full,Relevance,0.4560702875399361,0.01826030692170633,3,313
fora,gpt-5-mini,memory,Relevance,0.46671991480298197,0.008385524892451332,3,313
fora,gpt-5-mini,no_knowledge,Relevance,0.44772807951721694,0.011877504454612489,3,313
fora,gpt-5-mini,short_prior,Relevance,0.4596201632942847,0.005870726094618833,3,313
fora,gpt-5-mini,summary,Relevance,0.47452964146254883,0.005789672144231473,3,313
fora,vllm:Qwen/Qwen3-4B-Instruct-2507,full,Relevance,0.46671991480298186,0.0,1,313
fora,vllm:Qwen/Qwen3-4B-Instruct-2507,memory,Relevance,0.4251863684771032,0.0,1,313
fora,vllm:Qwen/Qwen3-4B-Instruct-2507,no_knowledge,Relevance,0.46884984025559107,0.0,1,313
fora,vllm:Qwen/Qwen3-4B-Instruct-2507,short_prior,Relevance,0.46246006389776356,0.0,1,313
fora,vllm:Qwen/Qwen3-4B-Instruct-2507,summary,Relevance,0.47151224707135253,0.0,1,313
fora,gemini-2.5-flash,full,Scope,0.4735534256301029,0.005186950371388878,3,313
fora,gemini-2.5-flash,memory,Scope,0.47639332623358177,0.024863072309696782,3,313
fora,gemini-2.5-flash,no_knowledge,Scope,0.4921902733404331,0.010688015063773268,3,313
fora,gemini-2.5-flash,short_prior,Scope,0.4714235001774938,0.0032631835837505273,3,313
fora,gemini-2.5-flash,summary,Scope,0.45207667731629403,0.01306479674801415,3,313
fora,gpt-5,full,Scope,0.4833155839545616,0.020947275103914746,3,313
fora,gpt-5,memory,Scope,0.4960951366702166,0.009879247461892622,3,313
fora,gpt-5,no_knowledge,Scope,0.48846290379836704,0.02130517016417987,3,313
fora,gpt-5,short_prior,Scope,0.49503017394391197,0.017927751220044637,3,313
fora,gpt-5,summary,Scope,0.47870074547390845,0.007642545311186022,3,313
fora,gpt-5-mini,full,Scope,0.43769968051118213,0.01433420313068508,3,313
fora,gpt-5-mini,memory,Scope,0.4534966276180334,0.01632749907571902,3,313
fora,gpt-5-mini,no_knowledge,Scope,0.4625488107916223,0.01506293894872356,3,313
fora,gpt-5-mini,short_prior,Scope,0.4549165779197728,0.0013282418838388042,3,313
fora,gpt-5-mini,summary,Scope,0.4717784877529287,0.01851218512251677,3,313
fora,vllm:Qwen/Qwen3-4B-Instruct-2507,full,Scope,0.5926517571884984,0.0,1,313
fora,vllm:Qwen/Qwen3-4B-Instruct-2507,memory,Scope,0.5990415335463258,0.0,1,313
fora,vllm:Qwen/Qwen3-4B-Instruct-2507,no_knowledge,Scope,0.6549520766773163,0.0,1,313
fora,vllm:Qwen/Qwen3-4B-Instruct-2507,short_prior,Scope,0.5750798722044729,0.0,1,313
fora,vllm:Qwen/Qwen3-4B-Instruct-2507,summary,Scope,0.5878594249201278,0.0,1,313
insq,gemini-2.5-flash,full,CIG,0.5433159722222222,0.004951722464219337,3,256
insq,gemini-2.5-flash,memory,CIG,0.5543402777777778,0.037630183302888004,3,256
insq,gemini-2.5-flash,no_knowledge,CIG,0.677170138888889,0.04173840034625796,3,256
insq,gemini-2.5-flash,short_prior,CIG,0.6885416666666667,0.0880634553282566,3,256
insq,gemini-2.5-flash,summary,CIG,0.6107638888888889,0.0022131161083301775,3,256
insq,gpt-5,full,CIG,0.4107638888888889,0.0077612128289087316,3,256
insq,gpt-5,memory,CIG,0.4592013888888889,0.00241812296478891,3,256
insq,gpt-5,no_knowledge,CIG,0.46953125,0.0033417320407847467,3,256
insq,gpt-5,short_prior,CIG,0.4591145833333334,0.004701945334705144,3,256
insq,gpt-5,summary,CIG,0.45729166666666665,0.01702495742570952,3,256
insq,gpt-5-mini,full,CIG,0.48671875000000003,0.013775032453581441,3,256
insq,gpt-5-mini,memory,CIG,0.5013020833333334,0.005466682810358969,3,256
insq,gpt-5-mini,no_knowledge,CIG,0.5567708333333333,0.005212671804167487,3,256
insq,gpt-5-mini,short_prior,CIG,0.5766493055555556,0.0034438948654301124,3,256
insq,gpt-5-mini,summary,CIG,0.5464409722222222,0.02250391126841162,3,256
insq,vllm:Qwen/Qwen3-4B-Instruct-2507,full,CIG,0.596875,0.0,1,256
insq,vllm:Qwen/Qwen3-4B-Instruct-2507,memory,CIG,0.7260416666666667,0.0,1,256
insq,vllm:Qwen/Qwen3-4B-Instruct-2507,no_knowledge,CIG,0.5356770833333333,0.0,1,256
insq,vllm:Qwen/Qwen3-4B-Instruct-2507,short_prior,CIG,0.6010416666666667,0.0,1,256
insq,vllm:Qwen/Qwen3-4B-Instruct-2507,summary,CIG,0.6578125000000001,0.0,1,256
insq,gemini-2.5-flash,full,Novelty,0.652907986111111,0.019038736199660043,3,256
insq,gemini-2.5-flash,memory,Novelty,0.5997829861111111,0.0070787788325955385,3,256
insq,gemini-2.5-flash,no_knowledge,Novelty,0.6205295138888889,0.04810610073626664,3,256
insq,gemini-2.5-flash,short_prior,Novelty,0.6520399305555555,0.09220768702912359,3,256
insq,gemini-2.5-flash,summary,Novelty,0.6277343750000001,0.02856127038645099,3,256
insq,gpt-5,full,Novelty,0.5771267361111111,0.0033909765598306774,3,256
insq,gpt-5,memory,Novelty,0.5674913194444445,0.0012090614823944367,3,256
insq,gpt-5,no_knowledge,Novelty,0.6996961805555556,0.014267305761635166,3,256
insq,gpt-5,short_prior,Novelty,0.6366753472222223,0.017911837877495774,3,256
insq,gpt-5,summary,Novelty,0.5873697916666667,0.023544316775616074,3,256
insq,gpt-5-mini,full,Novelty,0.7260850694444444,0.024170944205565908,3,256
insq,gpt-5-mini,memory,Novelty,0.6974392361111111,0.03664407875645054,3,256
insq,gpt-5-mini,no_knowledge,Novelty,0.598828125,0.014359958414678542,3,256
insq,gpt-5-mini,short_prior,Novelty,0.5303385416666666,0.012458336236528818,3,256
insq,gpt-5-mini,summary,Novelty,0.8063802083333332,0.022834646467208737,3,256
insq,vllm:Qwen/Qwen3-4B-Instruct-2507,full,Novelty,0.655859375,0.0,1,256
insq,vllm:Qwen/Qwen3-4B-Instruct-2507,memory,Novelty,0.6173177083333333,0.0,1,256
insq,vllm:Qwen/Qwen3-4B-Instruct-2507,no_knowledge,Novelty,0.8115885416666666,0.0,1,256
insq,vllm:Qwen/Qwen3-4B-Instruct-2507,short_prior,Novelty,0.6730718954248366,0.0,1,255
insq,vllm:Qwen/Qwen3-4B-Instruct-2507,summary,Novelty,0.617578125,0.0,1,256
insq,gemini-2.5-flash,full,Relevance,0.6149739583333332,0.015000542524911122,3,256
insq,gemini-2.5-flash,memory,Relevance,0.5023003472222222,0.012170745645835238,3,256
insq,gemini-2.5-flash,no_knowledge,Relevance,0.6483072916666667,0.05825926907753885,3,256
insq,gemini-2.5-flash,short_prior,Relevance,0.7101128472222222,0.13063287271745036,3,256
insq,gemini-2.5-flash,summary,Relevance,0.5790364583333333,0.02065133174624626,3,256
insq,gpt-5,full,Relevance,0.4438802083333333,0.006760809888409966,3,256
insq,gpt-5,memory,Relevance,0.42712673611111107,0.004512219242488552,3,256
insq,gpt-5,no_knowledge,Relevance,0.43563368055555557,0.011332032239109172,3,256
insq,gpt-5,short_prior,Relevance,0.4404947916666666,0.009073568432387678,3,256
insq,gpt-5,summary,Relevance,0.45177951388888893,0.015780953960675196,3,256
insq,gpt-5-mini,full,Relevance,0.5291232638888889,0.0012276159395600132,3,256
insq,gpt-5-mini,memory,Relevance,0.5351996527777777,0.005351053822021695,3,256
insq,gpt-5-mini,no_knowledge,Relevance,0.5200086805555556,0.0047939934970430845,3,256
insq,gpt-5-mini,short_prior,Relevance,0.5508246527777778,0.016954882799153324,3,256
insq,gpt-5-mini,summary,Relevance,0.5469184027777777,0.021404215288086698,3,256
insq,vllm:Qwen/Qwen3-4B-Instruct-2507,full,Relevance,0.5891927083333333,0.0,1,256
insq,vllm:Qwen/Qwen3-4B-Instruct-2507,memory,Relevance,0.508984375,0.0,1,256
insq,vllm:Qwen/Qwen3-4B-Instruct-2507,no_knowledge,Relevance,0.5686197916666667,0.0,1,256
insq,vllm:Qwen/Qwen3-4B-Instruct-2507,short_prior,Relevance,0.494140625,0.0,1,256
insq,vllm:Qwen/Qwen3-4B-Instruct-2507,summary,Relevance,0.5279947916666666,0.0,1,256
insq,gemini-2.5-flash,full,Scope,0.49622395833333327,0.00209415591698174,3,256
insq,gemini-2.5-flash,memory,Scope,0.4673177083333333,0.00722939681029757,3,256
insq,gemini-2.5-flash,no_knowledge,Scope,0.4649739583333334,0.017364149039760052,3,256
insq,gemini-2.5-flash,short_prior,Scope,0.45273437499999997,0.007975725432871637,3,256
insq,gemini-2.5-flash,summary,Scope,0.4577690972222222,0.01953568622458477,3,256
insq,gpt-5,full,Scope,0.5411892361111111,0.019208953452671866,3,256
insq,gpt-5,memory,Scope,0.526171875,0.020406876550133943,3,256
insq,gpt-5,no_knowledge,Scope,0.5393663194444445,0.008834571181174946,3,256
insq,gpt-5,short_prior,Scope,0.535546875,0.010314165830662579,3,256
insq,gpt-5,summary,Scope,0.5294704861111111,0.01404051350496219,3,256
insq,gpt-5-mini,full,Scope,0.48415798611111116,0.01736588476038012,3,256
insq,gpt-5-mini,memory,Scope,0.46723090277777785,0.014633367376626651,3,256
insq,gpt-5-mini,no_knowledge,Scope,0.47165798611111115,0.01508070096095556,3,256
insq,gpt-5-mini,short_prior,Scope,0.4733940972222223,0.014143179911234344,3,256
insq,gpt-5-mini,summary,Scope,0.4889322916666667,0.0035769787809091028,3,256
insq,vllm:Qwen/Qwen3-4B-Instruct-2507,full,Scope,0.5970052083333333,0.0,1,256
insq,vllm:Qwen/Qwen3-4B-Instruct-2507,memory,Scope,0.5686197916666667,0.0,1,256
insq,vllm:Qwen/Qwen3-4B-Instruct-2507,no_knowledge,Scope,0.6264322916666667,0.0,1,256
insq,vllm:Qwen/Qwen3-4B-Instruct-2507,short_prior,Scope,0.5858072916666667,0.0,1,256
insq,vllm:Qwen/Qwen3-4B-Instruct-2507,summary,Scope,0.5930989583333334,0.0,1,256
